Annee;HC;HP;HF;Valeur
2023;HC_63;HP_42;TOTAL;496
2023;HC_63;HP_51;TOTAL;175
2023;HC_63;HP_52;TOTAL;0
2023;HC_64;HP_33;TOTAL;6
2023;HC_64;HP_34;TOTAL;942
2023;HC_66;HP_6;TOTAL;221
2024;HC_11;HP_11;TOTAL;42004
2024;HC_12;HP_34;TOTAL;1567
2024;HC_13;HP_11;TOTAL;18131
2024;HC_13;HP_12;TOTAL;2696
2024;HC_13;HP_31;TOTAL;21140
2024;HC_13;HP_32;TOTAL;12805
2024;HC_13;HP_33;TOTAL;918
2024;HC_14;HP_32;TOTAL;0
2024;HC_14;HP_33;TOTAL;9449
2024;HC_21;HP_12;TOTAL;3
2024;HC_23;HP_12;TOTAL;1
2024;HC_24;HP_33;TOTAL;0
2024;HC_24;HP_34;TOTAL;0
2024;HC_31;HP_11;TOTAL;1518
2024;HC_31;HP_21;TOTAL;38357
2024;HC_34;HP_33;TOTAL;4079
2024;HC_41;HP_34;TOTAL;10
2024;HC_43;HP_41;TOTAL;3609
2024;HC_43;HP_81;TOTAL;78
2024;HC_43;HP_82;TOTAL;3176
2024;HC_51;HP_51;TOTAL;35295
2024;HC_51;HP_59;TOTAL;236
2024;HC_52;HP_11;TOTAL;3078
2024;HC_52;HP_33;TOTAL;441
2024;HC_52;HP_59;TOTAL;4986
2024;HC_62;HP_12;TOTAL;0
2024;HC_62;HP_42;TOTAL;0
2024;HC_62;HP_51;TOTAL;1151
2024;HC_62;HP_59;TOTAL;0
2024;HC_63;HP_34;TOTAL;0
2024;HC_63;HP_42;TOTAL;366
2024;HC_64;HP_12;TOTAL;0
2024;HC_64;HP_6;TOTAL;3182
2024;HC_65;HP_13;TOTAL;0
2024;HC_65;HP_6;TOTAL;331
2024;HC_72;HP_72;TOTAL;6990
2021;HC_12;HP_1;TOTAL;9278
2021;HC_12;HP_3;TOTAL;1441
2021;HC_22;HP_1;TOTAL;1003
2021;HC_23;HP_1;TOTAL;388
2021;HC_34;HP_3;TOTAL;7639
2021;HC_41;HP_3;TOTAL;26
2021;HC_42;HP_4;TOTAL;4370
2021;HC_51;HP_1;TOTAL;12115
2021;HC_51;HP_3;TOTAL;0
2021;HC_52;HP_3;TOTAL;336
2021;HC_61;HP_5;TOTAL;29
2021;HC_61;HP_8;TOTAL;594
2021;HC_63;HP_1;TOTAL;0
2021;HC_63;HP_3;TOTAL;519
2021;HC_64;HP_4;TOTAL;0
2021;HC_64;HP_8;TOTAL;35
2021;HC_65;HP_3;TOTAL;0
2021;HC_71;HP_7;TOTAL;1126
2022;HC_11;HP_1;TOTAL;52364
2022;HC_12;HP_3;TOTAL;1488
2022;HC_13;HP_1;TOTAL;20091
2022;HC_22;HP_1;TOTAL;1161
2022;HC_23;HP_1;TOTAL;409
2022;HC_23;HP_3;TOTAL;9878
2022;HC_31;HP_2;TOTAL;35625
2022;HC_34;HP_3;TOTAL;8375
2022;HC_41;HP_1;TOTAL;346
2022;HC_41;HP_4;TOTAL;4546
2022;HC_51;HP_5;TOTAL;33620
2022;HC_52;HP_1;TOTAL;3055
2022;HC_52;HP_3;TOTAL;361
2022;HC_61;HP_3;TOTAL;156
2022;HC_61;HP_5;TOTAL;30
2022;HC_62;HP_1;TOTAL;0
2022;HC_63;HP_4;TOTAL;2407
2022;HC_64;HP_1;TOTAL;0
2022;HC_64;HP_5;TOTAL;0
2022;HC_65;HP_5;TOTAL;2
2023;HC_12;HP_1;TOTAL;11248
2023;HC_21;HP_1;TOTAL;10053
2023;HC_22;HP_1;TOTAL;1343
2023;HC_32;HP_2;TOTAL;104
2023;HC_34;HP_3;TOTAL;9811
2023;HC_41;HP_1;TOTAL;315
2023;HC_41;HP_3;TOTAL;14
2023;HC_41;HP_4;TOTAL;4710
2023;HC_43;HP_4;TOTAL;3610
2023;HC_51;HP_1;TOTAL;13601
2023;HC_52;HP_3;TOTAL;406
2023;HC_61;HP_5;TOTAL;27
2023;HC_61;HP_8;TOTAL;650
2023;HC_62;HP_3;TOTAL;232
2023;HC_63;HP_3;TOTAL;174
2023;HC_64;HP_4;TOTAL;0
2023;HC_65;HP_1;TOTAL;0
2023;HC_65;HP_5;TOTAL;1
2024;HC_12;HP_1;TOTAL;11752
2024;HC_12;HP_3;TOTAL;1567
2024;HC_13;HP_1;TOTAL;21927
2024;HC_22;HP_1;TOTAL;1383
2024;HC_23;HP_1;TOTAL;528
2024;HC_23;HP_3;TOTAL;11423
2024;HC_51;HP_1;TOTAL;15493
2024;HC_51;HP_5;TOTAL;35534
2024;HC_52;HP_3;TOTAL;441
2024;HC_52;HP_5;TOTAL;18001
2024;HC_61;HP_3;TOTAL;182
2024;HC_61;HP_5;TOTAL;30
2024;HC_62;HP_1;TOTAL;0
2024;HC_62;HP_3;TOTAL;117
2024;HC_62;HP_4;TOTAL;0
2024;HC_64;HP_1;TOTAL;0
2024;HC_64;HP_5;TOTAL;0
2024;HC_65;HP_1;TOTAL;0
2024;HC_72;HP_7;TOTAL;15734
2021;HC_131;TOTAL;HF_11;50
2021;HC_131;TOTAL;HF_122;1203
2021;HC_131;TOTAL;HF_21;904
2021;HC_133;TOTAL;HF_11;174
2021;HC_133;TOTAL;HF_21;1259
2021;HC_133;TOTAL;HF_31;59
2021;HC_511;TOTAL;HF_11;248
2021;HC_511;TOTAL;HF_21;1710
2021;HC_513;TOTAL;HF_11;16
2022;HC_131;TOTAL;HF_11;53
2022;HC_131;TOTAL;HF_122;1190
2022;HC_131;TOTAL;HF_31;34
2022;HC_132;TOTAL;HF_11;23
2022;HC_132;TOTAL;HF_121;5550
2022;HC_132;TOTAL;HF_122;3745
2022;HC_133;TOTAL;HF_11;154
2022;HC_133;TOTAL;HF_21;1263
2022;HC_133;TOTAL;HF_31;75
2022;HC_511;TOTAL;HF_122;1635
2022;HC_512;TOTAL;HF_122;40
2022;HC_512;TOTAL;HF_21;117
2022;HC_513;TOTAL;HF_32;94
2023;HC_131;TOTAL;HF_21;974
2023;HC_131;TOTAL;HF_31;37
2023;HC_131;TOTAL;HF_32;1697
2023;HC_132;TOTAL;HF_32;1656
2023;HC_133;TOTAL;HF_11;175
2023;HC_133;TOTAL;HF_121;21689
2023;HC_133;TOTAL;HF_122;1584
2023;HC_511;TOTAL;HF_21;1867
2023;HC_511;TOTAL;HF_32;1302
2023;HC_512;TOTAL;HF_121;0
2023;HC_512;TOTAL;HF_122;35
2023;HC_512;TOTAL;HF_31;2583
