Annee;HC;HP;HF;Valeur
2021;TOTAL;HP_32;HF_122;3367
2021;TOTAL;HP_33;HF_121;18574
2021;TOTAL;HP_33;HF_122;1066
2021;TOTAL;HP_34;HF_121;3352
2021;TOTAL;HP_34;HF_31;62
2021;TOTAL;HP_34;HF_32;237
2021;TOTAL;HP_35;HF_32;236
2021;TOTAL;HP_41;HF_11;15
2021;TOTAL;HP_42;HF_121;10974
2021;TOTAL;HP_51;HF_122;1837
2021;TOTAL;HP_71;HF_11;1126
2021;TOTAL;HP_73;HF_122;3511
2021;TOTAL;HP_81;HF_11;0
2021;TOTAL;HP_81;HF_121;68
2021;TOTAL;HP_81;HF_122;1
2021;TOTAL;HP_81;HF_21;1
2021;TOTAL;HP_82;HF_122;32
2021;TOTAL;HP_82;HF_21;54
2021;TOTAL;HP_82;HF_32;38
2022;TOTAL;HP_12;HF_21;197
2022;TOTAL;HP_13;HF_11;5
2022;TOTAL;HP_13;HF_122;91
2022;TOTAL;HP_13;HF_32;215
2022;TOTAL;HP_21;HF_11;766
2022;TOTAL;HP_21;HF_121;21874
2022;TOTAL;HP_21;HF_32;12878
2022;TOTAL;HP_31;HF_121;15768
2022;TOTAL;HP_31;HF_31;56
2022;TOTAL;HP_32;HF_11;10
2022;TOTAL;HP_32;HF_122;3340
2022;TOTAL;HP_33;HF_11;53
2022;TOTAL;HP_33;HF_122;1150
2022;TOTAL;HP_33;HF_31;2264
2022;TOTAL;HP_34;HF_11;943
2022;TOTAL;HP_34;HF_121;3622
2022;TOTAL;HP_34;HF_122;464
2022;TOTAL;HP_35;HF_11;4100
2022;TOTAL;HP_35;HF_121;180
2022;TOTAL;HP_35;HF_32;309
2022;TOTAL;HP_41;HF_21;57
2022;TOTAL;HP_41;HF_32;63
2022;TOTAL;HP_42;HF_122;931
2022;TOTAL;HP_51;HF_21;2347
2022;TOTAL;HP_52;HF_11;5
2022;TOTAL;HP_52;HF_122;3878
2022;TOTAL;HP_59;HF_32;141
2022;TOTAL;HP_73;HF_122;3559
2022;TOTAL;HP_81;HF_121;68
2022;TOTAL;HP_81;HF_21;1
2022;TOTAL;HP_82;HF_11;644
2022;TOTAL;HP_82;HF_121;2506
2023;TOTAL;HP_11;HF_11;1179
2023;TOTAL;HP_11;HF_121;95608
2023;TOTAL;HP_12;HF_122;147
2023;TOTAL;HP_12;HF_21;227
2023;TOTAL;HP_12;HF_32;113
2023;TOTAL;HP_13;HF_11;6
2023;TOTAL;HP_13;HF_121;2361
2023;TOTAL;HP_21;HF_121;23392
2023;TOTAL;HP_22;HF_121;1809
2023;TOTAL;HP_31;HF_121;15965
2023;TOTAL;HP_32;HF_122;3571
2023;TOTAL;HP_32;HF_21;2334
2023;TOTAL;HP_32;HF_31;646
2023;TOTAL;HP_32;HF_32;1492
2023;TOTAL;HP_33;HF_121;18950
2023;TOTAL;HP_34;HF_21;405
2023;TOTAL;HP_34;HF_31;72
2023;TOTAL;HP_34;HF_32;358
2023;TOTAL;HP_35;HF_11;5161
2023;TOTAL;HP_35;HF_121;201
2023;TOTAL;HP_41;HF_11;18
2023;TOTAL;HP_41;HF_21;48
2023;TOTAL;HP_51;HF_21;2394
2023;TOTAL;HP_51;HF_31;3320
2023;TOTAL;HP_59;HF_11;14
2023;TOTAL;HP_73;HF_122;3725
2023;TOTAL;HP_82;HF_122;43
2023;TOTAL;HP_82;HF_31;65
2023;TOTAL;HP_82;HF_32;53
2024;TOTAL;HP_11;HF_122;1831
2024;TOTAL;HP_11;HF_31;298
2024;TOTAL;HP_12;HF_11;168
2024;TOTAL;HP_12;HF_32;124
2024;TOTAL;HP_31;HF_11;130
2024;TOTAL;HP_31;HF_121;16279
2024;TOTAL;HP_31;HF_21;1699
2024;TOTAL;HP_32;HF_11;14
2024;TOTAL;HP_32;HF_122;3854
2024;TOTAL;HP_33;HF_11;63
2024;TOTAL;HP_33;HF_121;19607
2024;TOTAL;HP_33;HF_32;1286
2024;TOTAL;HP_34;HF_121;3989
2024;TOTAL;HP_34;HF_31;72
2024;TOTAL;HP_35;HF_11;5564
2024;TOTAL;HP_35;HF_32;504
2024;TOTAL;HP_41;HF_11;19
2024;TOTAL;HP_41;HF_121;3410
2024;TOTAL;HP_42;HF_121;7736
2024;TOTAL;HP_42;HF_32;679
2024;TOTAL;HP_51;HF_31;3424
2024;TOTAL;HP_52;HF_121;1387
2024;TOTAL;HP_59;HF_32;144
2024;TOTAL;HP_81;HF_11;0
2024;TOTAL;HP_81;HF_121;74
2024;TOTAL;HP_81;HF_122;1
2024;TOTAL;HP_81;HF_21;1
2024;TOTAL;HP_82;HF_11;723
2024;TOTAL;HP_82;HF_21;79
2024;TOTAL;HP_82;HF_32;57
2023;TOTAL;TOTAL;TOTAL;320983
2024;TOTAL;TOTAL;TOTAL;332640
2021;HC_14;TOTAL;TOTAL;11751
2021;HC_22;TOTAL;TOTAL;1003
2021;HC_23;TOTAL;TOTAL;9846
2021;HC_24;TOTAL;TOTAL;0
2021;HC_34;TOTAL;TOTAL;7639
2021;HC_512;TOTAL;TOTAL;2355
2021;HC_52;TOTAL;TOTAL;19432
2021;HC_63;TOTAL;TOTAL;7029
2021;HC_65;TOTAL;TOTAL;257
2021;HC_66;TOTAL;TOTAL;487
2022;HC_131;TOTAL;TOTAL;16231
2022;HC_132;TOTAL;TOTAL;14293
2022;HC_41;TOTAL;TOTAL;4914
2022;HC_512;TOTAL;TOTAL;2598
2022;HC_513;TOTAL;TOTAL;3432
2022;HC_71;TOTAL;TOTAL;1111
2023;HC_12;TOTAL;TOTAL;12792
2023;HC_131;TOTAL;TOTAL;16967
2023;HC_21;TOTAL;TOTAL;10053
2023;HC_33;TOTAL;TOTAL;1600
2023;HC_34;TOTAL;TOTAL;9811
2023;HC_41;TOTAL;TOTAL;5038
2023;HC_511;TOTAL;TOTAL;41786
2023;HC_61;TOTAL;TOTAL;1254
2023;HC_64;TOTAL;TOTAL;4472
2023;HC_65;TOTAL;TOTAL;318
2023;HC_71;TOTAL;TOTAL;1129
2024;HC_11;TOTAL;TOTAL;54217
2024;HC_12;TOTAL;TOTAL;13319
2024;HC_131;TOTAL;TOTAL;17540
2024;HC_23;TOTAL;TOTAL;11951
